Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
NDVI_7_Low | NDVI_8_Low,organic_matter_NegativeImpact,0.088,0.6111111111111112,1.6697024893746206,1.2244484922080552,cross_domain,satellite,soil,NDVI_7 | NDVI_8,organic_matter,2,1,"satellite → soil (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_High | NDVI_7_Medium,VPDMIN_11_PositiveImpact,0.15,0.625,1.6276041666666667,1.220703125,cross_domain,satellite,climate,GPP_8 | NDVI_7,VPDMIN_11,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,organic_matter_NegativeImpact,0.134,0.5877192982456141,1.6057904323650658,1.1325048312469412,cross_domain,satellite,soil,NDVI_7,organic_matter,1,1,"satellite → soil (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,TMIN_9_MediumImpact,0.086,0.5972222222222222,1.5799529688418577,1.132299627669998,cross_domain,satellite,climate,NDVI_7 | NDVI_8,TMIN_9,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_High | NDVI_7_High,VPDMIN_11_MediumImpact,0.204,0.520408163265306,1.8069727891156464,1.1284360683048726,cross_domain,satellite,climate,GPP_8 | NDVI_7,VPDMIN_11,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_High | NDVI_7_High,VPDMIN_11_MediumImpact,0.182,0.5170454545454546,1.7952967171717171,1.1139000086088156,cross_domain,satellite,climate,NDVI_8 | NDVI_7,VPDMIN_11,2,1,"satellite → climate (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_High | NDVI_7_High,organic_matter_MediumImpact,0.208,0.5909090909090909,1.5388257575757576,1.0911673553719008,cross_domain,satellite,soil,NDVI_8 | NDVI_7,organic_matter,2,1,"satellite → soil (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,Y_PositiveImpact,0.074,0.513888888888889,1.747921390778534,1.0778848576467628,cross_domain,satellite,geo_temp,NDVI_7 | NDVI_8,Y,2,1,"satellite → geo_temp (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,TMIN_9_MediumImpact,0.108,0.5806451612903226,1.5360983102918588,1.07031366136465,cross_domain,satellite,climate,NDVI_8,TMIN_9,1,1,"satellite → climate (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_High | NDVI_7_High,Y_MediumImpact,0.282,0.7193877551020407,1.4863383369876877,1.0692535995676729,cross_domain,satellite,geo_temp,GPP_8 | NDVI_7,Y,2,1,"satellite → geo_temp (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_High,Y_MediumImpact,0.296,0.7184466019417476,1.484393805664768,1.0664576856232313,cross_domain,satellite,geo_temp,NDVI_7,Y,1,1,"satellite → geo_temp (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,organic_matter_NegativeImpact,0.106,0.5698924731182795,1.5570832598860096,1.064844035793013,cross_domain,satellite,soil,NDVI_8,organic_matter,1,1,"satellite → soil (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_High,VPDMIN_11_MediumImpact,0.208,0.5048543689320388,1.7529665587918015,1.0619913909573633,cross_domain,satellite,climate,NDVI_7,VPDMIN_11,1,1,"satellite → climate (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,VPDMIN_8_MediumImpact | VPDMIN_11_NegativeImpact,0.078,0.4193548387096774,2.096774193548387,1.0551508844953177,cross_domain,satellite,climate,NDVI_8,VPDMIN_8 | VPDMIN_11,1,2,"satellite → climate (Antecedent: 1 features, Consequent: 2 features)"
organic_matter_Low,Y_PositiveImpact,0.154,0.506578947368421,1.7230576441102756,1.0474376731301938,cross_domain,soil,geo_temp,organic_matter,Y,1,1,"soil → geo_temp (Antecedent: 1 features, Consequent: 1 features)"
