Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
NDVI_season_max_Low,TMIN_season_std_MediumImpact | EVI_season_max_NegativeImpact,0.122,0.6931818181818182,3.93853305785124,3.2761434072126225,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,TMIN_season_std | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact,0.124,0.7045454545454546,3.871128871128872,3.272863500136228,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,EVI_season_max,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
NDVI_season_max_Low | year_High,EVI_season_max_NegativeImpact,0.124,0.7045454545454546,3.871128871128872,3.272863500136228,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | year,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low | X_Low,NDVI_9_NegativeImpact,0.084,0.6086956521739131,4.475703324808184,3.2692093850772825,mixed,geo_temp | satellite,satellite,NDVI_season_max | X,NDVI_9,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | NDVI_season_mean_MediumImpact,0.102,0.5795454545454546,4.5995670995671,3.19878984651712,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_8 | NDVI_season_mean,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | X_Low,EVI_season_max_NegativeImpact,0.096,0.6956521739130435,3.822264691829909,3.1907600905710543,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | X,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | X_Low,EVI_season_max_NegativeImpact,0.086,0.6935483870967741,3.810705423608649,3.1714903202936493,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_7 | X,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
organic_matter_Low | NDVI_8_Low,VPDMIN_11_NegativeImpact,0.07,0.8750000000000001,3.0172413793103456,3.1681034482758634,mixed,satellite | soil,climate,organic_matter | NDVI_8,VPDMIN_11,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
year_High | GPP_8_Low,NDVI_8_NegativeImpact,0.074,0.6981132075471698,3.713368125250903,3.1108215992667936,mixed,geo_temp | satellite,satellite,year | GPP_8,NDVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low | X_Low,EVI_season_max_NegativeImpact,0.092,0.6865671641791045,3.7723470559291457,3.1079635445864,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_8 | X,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | GPP_6_MediumImpact,0.096,0.5454545454545455,4.702194357366771,3.077799943003705,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Low | NDVI_8_Low,EVI_season_max_NegativeImpact,0.098,0.6805555555555556,3.73931623931624,3.0537749287749287,mixed,satellite,geo_temp | satellite,NDVI_7 | NDVI_8,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | X_Low,NDVI_season_mean_MediumImpact,0.102,0.8225806451612903,3.092408440455978,3.052506396062997,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_7 | X,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | organic_matter_NegativeImpact,0.096,0.5454545454545455,4.622496147919877,3.025633842274829,mixed,geo_temp | satellite,satellite | soil,NDVI_season_max,NDVI_8 | organic_matter,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | NDVI_season_std_MediumImpact,0.096,0.5454545454545455,4.622496147919877,3.025633842274829,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_8 | NDVI_season_std,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_7_Low,NDVI_season_mean_MediumImpact,0.108,0.8059701492537313,3.0299629671192907,2.930471645810896,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | NDVI_7,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low | GPP_8_Low,EVI_season_max_NegativeImpact,0.068,0.6666666666666667,3.6630036630036633,2.930402930402931,mixed,satellite,geo_temp | satellite,NDVI_8 | GPP_8,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | X_Low,NDVI_8_NegativeImpact,0.084,0.6774193548387097,3.603294440631435,2.9291296743197472,mixed,geo_temp | satellite,satellite,NDVI_7 | X,NDVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | year_HighNegativeImpact,0.092,0.5227272727272727,4.667207792207792,2.927612160566706,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_8 | year,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
organic_matter_Low | NDVI_8_Low,GPP_6_MediumImpact,0.07,0.8750000000000001,2.7689873417721524,2.9074367088607604,mixed,satellite | soil,satellite,organic_matter | NDVI_8,GPP_6,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact | NDVI_season_mean_MediumImpact,0.094,0.5340909090909092,4.450757575757577,2.8525309917355384,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,EVI_season_max | NDVI_season_mean,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | GPP_10_NegativeImpact,0.084,0.4772727272727273,4.97159090909091,2.8473657024793395,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | GPP_10,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low | X_Low,NDVI_season_mean_MediumImpact,0.106,0.7910447761194029,2.9738525418022665,2.8229406217705093,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_8 | X,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | GPP_8_Low,NDVI_season_mean_MediumImpact,0.068,0.7906976744186047,2.9725476481902438,2.8204638150270216,mixed,satellite,geo_temp | satellite,NDVI_7 | GPP_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,year_HighNegativeImpact | NDVI_season_mean_MediumImpact,0.098,0.5568181818181819,4.155359565807327,2.7765357098803505,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,year | NDVI_season_mean,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Low,NDVI_8_NegativeImpact | TMIN_season_std_MediumImpact,0.068,0.6415094339622642,3.603985584057664,2.774388902444391,mixed,satellite,climate | geo_temp | satellite,GPP_8,NDVI_8 | TMIN_season_std,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,EVI_season_max_NegativeImpact,0.12,0.6451612903225806,3.544842254519674,2.7443940034991026,mixed,satellite,geo_temp | satellite,NDVI_8,EVI_season_max,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
year_High | NDVI_8_Low,EVI_season_max_NegativeImpact,0.12,0.6451612903225806,3.544842254519674,2.7443940034991026,mixed,geo_temp | satellite,geo_temp | satellite,year | NDVI_8,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,TMIN_season_std_MediumImpact | EVI_season_max_NegativeImpact,0.118,0.6344086021505376,3.6045943304007824,2.7441427805631764,mixed,satellite,climate | geo_temp | satellite,NDVI_8,TMIN_season_std | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Low,EVI_season_max_NegativeImpact,0.068,0.6415094339622642,3.5247771096827707,2.713413322170888,mixed,satellite,geo_temp | satellite,GPP_8,EVI_season_max,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
year_High | GPP_8_Low,EVI_season_max_NegativeImpact,0.068,0.6415094339622642,3.5247771096827707,2.713413322170888,mixed,geo_temp | satellite,geo_temp | satellite,year | GPP_8,EVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | wilting_point_MediumImpact,0.082,0.4659090909090909,4.853219696969697,2.7133910123966944,mixed,geo_temp | satellite,satellite | soil,NDVI_season_max,NDVI_8 | wilting_point,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | GPP_8_Low,NDVI_season_mean_MediumImpact,0.068,0.7727272727272728,2.9049897470950103,2.6937177654881004,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | GPP_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | GPP_8_PositiveImpact,0.076,0.4318181818181818,5.140692640692641,2.6638134592680047,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | GPP_8,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | X_Low,NDVI_season_mean_MediumImpact,0.106,0.7681159420289855,2.8876539174022007,2.661663610822898,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | X,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_season_mean_MediumImpact | GPP_6_MediumImpact,0.108,0.6136363636363636,3.567653276955603,2.6270901403036717,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_season_mean | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_8_Low,NDVI_9_NegativeImpact,0.084,0.5454545454545455,4.010695187165775,2.6251823043266893,mixed,geo_temp | satellite,satellite,NDVI_season_max | NDVI_8,NDVI_9,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,TMIN_season_std_MediumImpact | NDVI_9_NegativeImpact,0.092,0.5227272727272727,4.148629148629149,2.6023219205037385,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,TMIN_season_std | NDVI_9,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_season_mean_MediumImpact | GPP_5_MediumImpact,0.094,0.5340909090909092,4.046143250688706,2.593209992486853,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_season_mean | GPP_5,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
organic_matter_High | NDVI_8_High,NDVI_season_max_PositiveImpact,0.154,0.9166666666666666,2.35042735042735,2.585470085470085,mixed,satellite | soil,geo_temp | satellite,organic_matter | NDVI_8,NDVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | TMIN_9_MediumImpact,0.084,0.4772727272727273,4.502572898799315,2.5787462965850625,mixed,geo_temp | satellite,climate | satellite,NDVI_season_max,NDVI_8 | TMIN_9,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | EVI_season_std_MediumImpact,0.092,0.5227272727272727,4.083806818181818,2.561660640495868,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_8 | EVI_season_std,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_8_Low,NDVI_season_mean_MediumImpact,0.116,0.7532467532467533,2.8317547114539594,2.5596120508726696,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | NDVI_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,VPDMIN_8_MediumImpact | EVI_season_max_NegativeImpact,0.094,0.5340909090909092,3.985753052917232,2.5545053657333177,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,VPDMIN_8 | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact | wilting_point_MediumImpact,0.076,0.4318181818181818,4.90702479338843,2.5427310293012773,mixed,geo_temp | satellite,geo_temp | satellite | soil,NDVI_season_max,EVI_season_max | wilting_point,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact | GPP_5_MediumImpact,0.088,0.5,4.237288135593221,2.542372881355932,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,EVI_season_max | GPP_5,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,TMEAN_10_MediumImpact | NDVI_8_NegativeImpact,0.088,0.5,4.237288135593221,2.542372881355932,mixed,geo_temp | satellite,climate | satellite,NDVI_season_max,TMEAN_10 | NDVI_8,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Low | NDVI_8_Low,NDVI_season_mean_MediumImpact,0.108,0.75,2.819548872180451,2.5375939849624056,mixed,satellite,geo_temp | satellite,NDVI_7 | NDVI_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,GPP_10_NegativeImpact | GPP_6_MediumImpact,0.074,0.4204545454545454,5.005411255411255,2.525457497048406,mixed,geo_temp | satellite,satellite,NDVI_season_max,GPP_10 | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_9_NegativeImpact,0.094,0.5340909090909092,3.927139037433155,2.516939110354886,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_9,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
NDVI_season_max_Low | year_High,NDVI_9_NegativeImpact,0.094,0.5340909090909092,3.927139037433155,2.516939110354886,mixed,geo_temp | satellite,satellite,NDVI_season_max | year,NDVI_9,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low | GPP_8_Low,NDVI_season_mean_MediumImpact,0.076,0.7450980392156863,2.8011204481792715,2.504531224254408,mixed,satellite,geo_temp | satellite,NDVI_8 | GPP_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact | GPP_6_MediumImpact,0.09,0.5113636363636364,4.058441558441558,2.4904073199527743,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,EVI_season_max | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low | X_Low,EVI_8_NegativeImpact,0.07,0.5223880597014926,3.9574853007688833,2.4808116810790017,mixed,geo_temp | satellite,satellite,NDVI_8 | X,EVI_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_season_mean_MediumImpact,0.13,0.7386363636363638,2.776828434723172,2.461279748959176,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_season_mean,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
NDVI_season_max_Low | year_High,NDVI_season_mean_MediumImpact,0.13,0.7386363636363638,2.776828434723172,2.461279748959176,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max | year,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,TMIN_season_std_MediumImpact | NDVI_season_mean_MediumImpact,0.126,0.7159090909090909,2.863636363636364,2.4601239669421493,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,TMIN_season_std | NDVI_season_mean,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | VPDMIN_8_MediumImpact,0.09,0.5113636363636364,3.9950284090909087,2.451494705578512,mixed,geo_temp | satellite,climate | satellite,NDVI_season_max,NDVI_8 | VPDMIN_8,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low | NDVI_7_Low,GPP_8_PositiveImpact,0.076,0.5671641791044776,3.589646703192896,2.443102830829792,mixed,geo_temp | satellite,satellite,NDVI_season_max | NDVI_7,GPP_8,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Medium | X_Low,GPP_5_MediumImpact,0.068,0.8292682926829269,2.4534564872275944,2.441488406802094,mixed,geo_temp | satellite,satellite,GPP_8 | X,GPP_5,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,NDVI_season_mean_MediumImpact | GPP_6_MediumImpact,0.11,0.5913978494623656,3.438359589897475,2.4401261605724014,mixed,satellite,geo_temp | satellite,NDVI_8,NDVI_season_mean | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,EVI_season_max_NegativeImpact | GPP_6_MediumImpact,0.094,0.5053763440860215,4.010923365762076,2.432430944397646,mixed,satellite,geo_temp | satellite,NDVI_8,EVI_season_max | GPP_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | VPDMIN_11_NegativeImpact,0.08,0.4545454545454546,4.456327985739751,2.4307243558580462,mixed,geo_temp | satellite,climate | satellite,NDVI_season_max,NDVI_8 | VPDMIN_11,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,EVI_season_max_NegativeImpact | year_HighNegativeImpact,0.08,0.4545454545454546,4.456327985739751,2.4307243558580462,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,EVI_season_max | year,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
organic_matter_High | NDVI_7_High,GPP_6_HighPositiveImpact,0.11,0.6962025316455697,2.9008438818565403,2.423489825348502,mixed,satellite | soil,satellite,organic_matter | NDVI_7,GPP_6,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | NDVI_9_NegativeImpact,0.074,0.4204545454545454,4.777892561983472,2.410663974455297,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | NDVI_9,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | NDVI_10_NegativeImpact,0.078,0.4431818181818182,4.522263450834879,2.4050219261258223,mixed,geo_temp | satellite,satellite,NDVI_season_max,NDVI_8 | NDVI_10,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,PPT_season_mean_MediumImpact | NDVI_8_NegativeImpact,0.086,0.4886363636363636,4.071969696969697,2.387654958677686,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,PPT_season_mean | NDVI_8,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,VPDMIN_8_MediumImpact | EVI_season_max_NegativeImpact,0.096,0.5161290322580645,3.851709195955705,2.385574727817727,mixed,satellite,climate | geo_temp | satellite,NDVI_8,VPDMIN_8 | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Low | X_Low,GPP_7_MediumImpact,0.094,0.7580645161290323,2.614015572858732,2.377910940471492,mixed,geo_temp | satellite,satellite,NDVI_7 | X,GPP_7,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low | X_Low,NDVI_season_max_NegativeImpact,0.092,0.6865671641791045,2.8847359839458173,2.376678004683718,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_8 | X,NDVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low | NDVI_7_Low,GPP_6_MediumImpact,0.106,0.7910447761194029,2.5033062535424144,2.3762728018701127,mixed,geo_temp | satellite,satellite,NDVI_season_max | NDVI_7,GPP_6,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | organic_matter_Medium,GPP_6_MediumImpact,0.074,0.7872340425531914,2.491246970105036,2.3534333079290124,mixed,satellite | soil,satellite,NDVI_7 | organic_matter,GPP_6,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
year_High | NDVI_8_Low,NDVI_9_NegativeImpact,0.096,0.5161290322580645,3.7950664136622394,2.3504927465262893,mixed,geo_temp | satellite,satellite,year | NDVI_8,NDVI_9,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_season_mean_MediumImpact | GPP_8_PositiveImpact,0.072,0.409090909090909,4.756871035940804,2.3351912358254854,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,NDVI_season_mean | GPP_8,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,GPP_10_NegativeImpact | NDVI_season_mean_MediumImpact,0.072,0.409090909090909,4.756871035940804,2.3351912358254854,mixed,geo_temp | satellite,geo_temp | satellite,NDVI_season_max,GPP_10 | NDVI_season_mean,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_season_max_Low,TMEAN_10_MediumImpact | EVI_season_max_NegativeImpact,0.082,0.4659090909090909,4.159902597402597,2.325763724911452,mixed,geo_temp | satellite,climate | geo_temp | satellite,NDVI_season_max,TMEAN_10 | EVI_season_max,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,NDVI_season_mean_MediumImpact | GPP_5_MediumImpact,0.094,0.5053763440860215,3.8286086673183446,2.32186590147048,mixed,satellite,geo_temp | satellite,NDVI_8,NDVI_season_mean | GPP_5,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Low,NDVI_season_mean_MediumImpact,0.076,0.7169811320754716,2.695417789757412,2.319076437979961,mixed,satellite,geo_temp | satellite,GPP_8,NDVI_season_mean,1,1,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 1 features)"
year_High | GPP_8_Low,NDVI_season_mean_MediumImpact,0.076,0.7169811320754716,2.695417789757412,2.319076437979961,mixed,geo_temp | satellite,geo_temp | satellite,year | GPP_8,NDVI_season_mean,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
X_Medium | NDVI_8_High,NDVI_season_max_PositiveImpact,0.158,0.8681318681318682,2.225979149056072,2.3189321245111607,mixed,geo_temp | satellite,geo_temp | satellite,X | NDVI_8,NDVI_season_max,2,1,"Mixed or complex relationship (Antecedent: 2 features, Consequent: 1 features)"
NDVI_season_max_Low,NDVI_8_NegativeImpact | PPT_6_MediumImpact,0.078,0.4431818181818182,4.344919786096257,2.310707340787556,mixed,geo_temp | satellite,climate | satellite,NDVI_season_max,NDVI_8 | PPT_6,1,2,"Mixed or complex relationship (Antecedent: 1 features, Consequent: 2 features)"
