Physical_Condition,SHAP_Impact,Support,Confidence,Lift,Rule_Strength,Rule_Type,Antecedent_Categories,Consequent_Categories,Antecedent_Features,Consequent_Features,Feature_Count_Antecedent,Feature_Count_Consequent,Description
NDVI_7_Low,GPP_6_MediumImpact,0.162,0.7105263157894737,2.248500999333777,1.9171429573266945,internal_consistency,satellite,satellite,NDVI_7,GPP_6,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_High | NDVI_7_High,GPP_6_HighPositiveImpact,0.216,0.6136363636363636,2.556818181818182,1.8827479338842976,internal_consistency,satellite,satellite,NDVI_8 | NDVI_7,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,GPP_10_NegativeImpact,0.098,0.5268817204301075,2.863487611033193,1.8104631347177604,internal_consistency,satellite,satellite,NDVI_8,GPP_10,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,NDVI_10_NegativeImpact,0.094,0.5053763440860215,2.8714565004887587,1.74139942610286,internal_consistency,satellite,satellite,NDVI_8,NDVI_10,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,GPP_10_NegativeImpact,0.074,0.513888888888889,2.7928743961352662,1.7222725442834144,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_10,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,NDVI_8_NegativeImpact,0.116,0.5087719298245614,2.706233669279582,1.6522268717706925,internal_consistency,satellite,satellite,NDVI_7,NDVI_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_Medium | NDVI_8_Medium,NDVI_7_MediumImpact,0.07,0.7000000000000001,1.966292134831461,1.6516853932584274,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,NDVI_7,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,GPP_5_MediumImpact,0.098,0.6805555555555556,2.0134779750164364,1.6443403462634232,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_5,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,GPP_5_MediumImpact,0.126,0.6774193548387097,2.004199274670739,1.6292200555387943,internal_consistency,satellite,satellite,NDVI_8,GPP_5,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low,GPP_7_MediumImpact | GPP_5_MediumImpact,0.11,0.4824561403508772,2.804977560179519,1.6239343769460373,internal_consistency,satellite,satellite,NDVI_7,GPP_7 | GPP_5,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,GPP_7_MediumImpact | GPP_6_MediumImpact,0.092,0.4946236559139785,2.71771239513175,1.6130938087233613,internal_consistency,satellite,satellite,NDVI_8,GPP_7 | GPP_6,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Medium,GPP_9_MediumImpact,0.116,0.6105263157894737,2.149740548554485,1.574967812414654,internal_consistency,satellite,satellite,GPP_8,GPP_9,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Low,GPP_6_MediumImpact | GPP_5_MediumImpact,0.104,0.4561403508771929,2.850877192982456,1.5604801477377652,internal_consistency,satellite,satellite,NDVI_7,GPP_6 | GPP_5,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_Low,GPP_7_MediumImpact,0.114,0.6129032258064516,2.113459399332592,1.5544153001542935,internal_consistency,satellite,satellite,NDVI_8,GPP_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_High | NDVI_7_High,GPP_6_HighPositiveImpact,0.218,0.5561224489795918,2.3171768707483,1.5463608912952935,internal_consistency,satellite,satellite,GPP_8 | NDVI_7,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,EVI_8_NegativeImpact,0.094,0.4122807017543859,3.123338649654439,1.545230700355354,internal_consistency,satellite,satellite,NDVI_7,EVI_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_High | NDVI_8_High,NDVI_7_PositiveImpact,0.338,0.7647058823529412,1.6624040920716112,1.5255002256657135,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,NDVI_7,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low | NDVI_8_Low,NDVI_10_NegativeImpact,0.068,0.4722222222222222,2.6830808080808084,1.5204124579124585,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,NDVI_10,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_High,NDVI_7_PositiveImpact,0.348,0.7532467532467532,1.6374929418407678,1.480123490287239,internal_consistency,satellite,satellite,NDVI_8,NDVI_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_High,GPP_6_HighPositiveImpact,0.224,0.5436893203883496,2.2653721682847903,1.4779903855217276,internal_consistency,satellite,satellite,NDVI_7,GPP_6,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_Low,GPP_5_MediumImpact,0.068,0.6415094339622642,1.8979569052137997,1.4610687119381702,internal_consistency,satellite,satellite,GPP_8,GPP_5,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_Low,GPP_6_MediumImpact | GPP_5_MediumImpact,0.082,0.4408602150537634,2.755376344086021,1.457682969129379,internal_consistency,satellite,satellite,NDVI_8,GPP_6 | GPP_5,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Low,GPP_5_MediumImpact,0.146,0.6403508771929824,1.894529222464445,1.4557961393674157,internal_consistency,satellite,satellite,NDVI_7,GPP_5,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_7_Medium | NDVI_8_High,GPP_9_PositiveImpact,0.08,0.7692307692307693,1.5446400988569664,1.4258216297141229,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_Low,GPP_7_MediumImpact | GPP_5_MediumImpact,0.084,0.4516129032258065,2.6256564141035263,1.4229363792561047,internal_consistency,satellite,satellite,NDVI_8,GPP_7 | GPP_5,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Medium,GPP_9_MediumImpact | EVI_9_MediumImpact,0.08,0.4210526315789473,2.807017543859649,1.418282548476454,internal_consistency,satellite,satellite,GPP_8,GPP_9 | EVI_9,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Medium | NDVI_8_High,GPP_5_NegativeImpact,0.072,0.6923076923076923,1.6722408026755853,1.389246205299717,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,GPP_5,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Medium | NDVI_8_High,NDVI_9_PositiveImpact,0.07,0.6730769230769231,1.7083170636470129,1.3797945514072028,internal_consistency,satellite,satellite,NDVI_7 | NDVI_8,NDVI_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Medium | NDVI_8_Medium,NDVI_10_MediumImpact,0.072,0.7199999999999999,1.5652173913043474,1.352347826086956,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,NDVI_10,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Medium | NDVI_8_Medium,NDVI_9_MediumImpact,0.07,0.7000000000000001,1.5837104072398192,1.3303167420814483,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,NDVI_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_Medium,NDVI_9_MediumImpact | NDVI_7_MediumImpact,0.086,0.4526315789473684,2.43350311262026,1.3217764274863726,internal_consistency,satellite,satellite,GPP_8,NDVI_9 | NDVI_7,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
organic_matter_Low,wilting_point_NegativeImpact,0.21,0.6907894736842105,1.584379526798648,1.3133672393199318,internal_consistency,soil,soil,organic_matter,wilting_point,1,1,"Within soil domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_High,NDVI_7_PositiveImpact | GPP_9_PositiveImpact,0.258,0.5584415584415584,1.9124710905532825,1.281604003539602,internal_consistency,satellite,satellite,NDVI_8,NDVI_7 | GPP_9,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_Medium | GPP_8_Medium,NDVI_10_MediumImpact,0.07,0.7000000000000001,1.5217391304347827,1.2782608695652171,internal_consistency,satellite,satellite,NDVI_7 | GPP_8,NDVI_10,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_Low,GPP_8_PositiveImpact,0.092,0.4035087719298245,2.553852986897624,1.236602498918849,internal_consistency,satellite,satellite,NDVI_7,GPP_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_Medium,NDVI_9_MediumImpact | GPP_9_MediumImpact,0.078,0.4105263157894737,2.503209242618742,1.2331599216269171,internal_consistency,satellite,satellite,GPP_8,NDVI_9 | GPP_9,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_High | NDVI_8_High,GPP_6_HighPositiveImpact,0.216,0.4886877828054298,2.0361990950226243,1.1940787453164348,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,GPP_6,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_8_High,NDVI_7_PositiveImpact | EVI_2_MediumImpact,0.262,0.5670995670995671,1.7395692242318008,1.1838107448019008,internal_consistency,satellite,satellite,NDVI_8,NDVI_7 | EVI_2,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_7_High,GPP_6_HighPositiveImpact | EVI_2_MediumImpact,0.17,0.412621359223301,2.3713871219729943,1.1741819730157546,internal_consistency,satellite,satellite,NDVI_7,GPP_6 | EVI_2,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_Medium,NDVI_7_MediumImpact,0.112,0.5894736842105264,1.6558249556475462,1.1712782844159486,internal_consistency,satellite,satellite,GPP_8,NDVI_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_High,GPP_6_HighPositiveImpact,0.222,0.4805194805194805,2.002164502164502,1.154494855793557,internal_consistency,satellite,satellite,NDVI_8,GPP_6,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
GPP_8_Medium,GPP_7_NegativeImpact,0.084,0.4421052631578948,2.146142054164538,1.1385848371567655,internal_consistency,satellite,satellite,GPP_8,GPP_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_High,NDVI_7_PositiveImpact | EVI_9_MediumImpact,0.262,0.5670995670995671,1.6679399032340207,1.1350655964865284,internal_consistency,satellite,satellite,NDVI_8,NDVI_7 | EVI_9,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_High | NDVI_7_High,NDVI_8_PositiveImpact,0.214,0.5459183673469388,1.7167244256193044,1.1246296747424422,internal_consistency,satellite,satellite,GPP_8 | NDVI_7,NDVI_8,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
GPP_8_High | NDVI_8_High,GPP_7_PositiveImpact,0.232,0.5248868778280543,1.7853295164219536,1.1245152429227872,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,GPP_7,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_High,GPP_6_HighPositiveImpact | EVI_9_MediumImpact,0.166,0.4029126213592233,2.28927625772286,1.1068539576174603,internal_consistency,satellite,satellite,NDVI_7,GPP_6 | EVI_9,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
NDVI_8_High,GPP_6_HighPositiveImpact | NDVI_7_PositiveImpact,0.202,0.4372294372294372,2.0820449391877967,1.092397604456974,internal_consistency,satellite,satellite,NDVI_8,GPP_6 | NDVI_7,1,2,"Within satellite domain (Antecedent: 1 features, Consequent: 2 features)"
GPP_8_High | NDVI_8_High,GPP_9_PositiveImpact,0.322,0.7285067873303167,1.4628650347998329,1.065707106799878,internal_consistency,satellite,satellite,GPP_8 | NDVI_8,GPP_9,2,1,"Within satellite domain (Antecedent: 2 features, Consequent: 1 features)"
NDVI_7_High,NDVI_8_PositiveImpact,0.218,0.529126213592233,1.6639189106673993,1.0565077355111447,internal_consistency,satellite,satellite,NDVI_7,NDVI_8,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
NDVI_8_High,GPP_7_PositiveImpact,0.234,0.5064935064935066,1.722767028889478,1.0470843760003583,internal_consistency,satellite,satellite,NDVI_8,GPP_7,1,1,"Within satellite domain (Antecedent: 1 features, Consequent: 1 features)"
